river,n_cell,value,sd,measure,buffer,year,source
Ookamotsu,58,0.461015522,0.03178436,chr_a,30km,2019,modis
Kokamotsu,10,0.462658417,0.043365301,chr_a,30km,2019,modis
Mogusa,9,0.505484061,0.064041275,chr_a,30km,2019,modis
Oyobe,43,0.490154597,0.094441379,chr_a,30km,2019,modis
Shiotomari,100,0.701084884,0.284975233,chr_a,30km,2019,modis
Haraki,54,0.914783259,0.33352735,chr_a,30km,2019,modis
Hidakahorobetsu,86,1.316060119,0.240992547,chr_a,30km,2019,modis
Nikanbetsu,53,1.917088187,0.752448065,chr_a,30km,2019,modis
Utabetsu,42,1.827456202,0.151807288,chr_a,30km,2019,modis
Nishibetsu,79,3.881698094,1.921388165,chr_a,30km,2020,modis
Onnebetsu,107,1.342621113,0.761260445,chr_a,30km,2020,modis
Okushibetsu,17,1.320829907,0.266332447,chr_a,30km,2020,modis
Yamubetsu,27,1.408527021,0.597429483,chr_a,30km,2020,modis
Horonai,93,1.009378174,0.16692508,chr_a,30km,2020,modis
Shimonaefutoro,104,0.747999507,0.133137179,chr_a,30km,2020,modis
Masuhoro,50,0.838386751,0.204497662,chr_a,30km,2020,modis
Nobusha,74,0.823615344,0.198586084,chr_a,30km,2020,modis
Shokanbetsu,14,0.810732339,0.185940156,chr_a,30km,2020,modis
Atsuta,69,2.03719605,1.075860483,chr_a,30km,2020,modis
Shakotan,137,0.756798052,0.159285326,chr_a,30km,2020,modis
Yobetsu,25,0.603739743,0.064717423,chr_a,30km,2020,modis
Furuu,39,0.632036742,0.101010903,chr_a,30km,2020,modis
Tomari,86,0.745684598,0.16786714,chr_a,30km,2020,modis
Chihase,10,0.9947842,0.316417955,chr_a,30km,2020,modis
Sukki,57,0.916205136,0.13577049,chr_a,30km,2020,modis
Toshibetsu,30,0.94642272,0.132981445,chr_a,30km,2020,modis
Futoro,12,0.894863918,0.270065289,chr_a,30km,2020,modis
Usubetsu,48,0.969861144,0.370455554,chr_a,30km,2020,modis
Kenichi,25,1.194099196,0.419678458,chr_a,30km,2020,modis
Toppu,13,0.718885607,0.137278791,chr_a,30km,2020,modis
Hime,5,0.765480614,0.03866595,chr_a,30km,2020,modis
Ishizaki,59,0.656674779,0.077262258,chr_a,30km,2020,modis
Ookamotsu,58,0.694620689,0.148682771,chr_a,30km,2020,modis
Kokamotsu,10,0.61339159,0.106592901,chr_a,30km,2020,modis
Mogusa,9,0.665045983,0.105639004,chr_a,30km,2020,modis
Oyobe,42,0.59549431,0.05172192,chr_a,30km,2020,modis
Shiotomari,104,0.814933938,0.319189725,chr_a,30km,2020,modis
Haraki,54,1.105413282,0.372114109,chr_a,30km,2020,modis
Hidakahorobetsu,85,2.223076039,0.417414215,chr_a,30km,2020,modis
Nikanbetsu,53,3.142021167,2.490266279,chr_a,30km,2020,modis
Utabetsu,42,2.405245179,0.285869108,chr_a,30km,2020,modis
Nishibetsu,265,2.708307747,1.182025667,chr_a,50km,2017,modis
Onnebetsu,294,1.336121283,0.445618281,chr_a,50km,2017,modis
Okushibetsu,14,2.825405155,3.119386242,chr_a,50km,2017,modis
Yamubetsu,34,1.507803573,0.198305168,chr_a,50km,2017,modis
Horonai,250,1.720238843,0.469613096,chr_a,50km,2017,modis
Shimonaefutoro,340,1.268955161,0.495835109,chr_a,50km,2017,modis
Masuhoro,100,0.930204091,0.120770704,chr_a,50km,2017,modis
Nobusha,223,1.034725673,0.451271465,chr_a,50km,2017,modis
Shokanbetsu,29,1.182530446,0.806788848,chr_a,50km,2017,modis
Atsuta,106,2.004269916,1.540553681,chr_a,50km,2017,modis
Shakotan,352,0.82600697,0.200344357,chr_a,50km,2017,modis
Yobetsu,43,0.723888826,0.156617422,chr_a,50km,2017,modis
Furuu,37,0.763626622,0.167936985,chr_a,50km,2017,modis
Tomari,192,0.999647233,0.520134746,chr_a,50km,2017,modis
Chihase,23,1.095071964,0.38717344,chr_a,50km,2017,modis
Sukki,99,1.564185997,0.887605119,chr_a,50km,2017,modis
Toshibetsu,72,1.786581841,0.732503991,chr_a,50km,2017,modis
Futoro,20,1.690064019,0.81566142,chr_a,50km,2017,modis
Usubetsu,89,1.570987316,0.789863121,chr_a,50km,2017,modis
Kenichi,37,1.316752392,0.846454111,chr_a,50km,2017,modis
Toppu,27,1.842165422,1.254883048,chr_a,50km,2017,modis
Hime,7,2.763459895,2.395888738,chr_a,50km,2017,modis
Ishizaki,170,1.067765723,0.583180177,chr_a,50km,2017,modis
Ookamotsu,109,0.893268695,0.220684438,chr_a,50km,2017,modis
Kokamotsu,10,0.845959964,0.246795944,chr_a,50km,2017,modis
Mogusa,18,0.904543317,0.236619084,chr_a,50km,2017,modis
Oyobe,46,0.915118757,0.301534945,chr_a,50km,2017,modis
Shiotomari,244,1.171388017,0.371748449,chr_a,50km,2017,modis
Haraki,80,1.366021837,0.554608337,chr_a,50km,2017,modis
Hidakahorobetsu,266,2.230613102,1.645211574,chr_a,50km,2017,modis
