river,year_release,abundance,abundance_unit,release_stage
tomari,2001,147,thousand_fish,fry
nikanbetsu,2001,92,thousand_fish,fry
nobusha,2001,245,thousand_fish,fry
nobusha,2001,480,thousand_fish,fry
nobusha,2001,365,thousand_fish,fry
nobusha,2001,140,thousand_fish,fry
hidakahorobetsu,2001,100,thousand_fish,fry
furuu,2001,172,thousand_fish,fry
furuu,2001,5,thousand_fish,fry
furuu,2001,43,thousand_fish,fry
furuu,2001,5,thousand_fish,fry
masuhoro,2001,50,thousand_fish,fry
yobetsu,2001,100,thousand_fish,fry
ishizaki,2002,69,thousand_fish,fry
usubetsu,2002,55,thousand_fish,fry
utabetsu,2002,63,thousand_fish,fry
shiotomari,2002,50,thousand_fish,fry
nobusha,2002,250,thousand_fish,fry
chihase,2002,169,thousand_fish,fry
futoro,2002,55,thousand_fish,fry
tomari,2002,146,thousand_fish,fry
nikanbetsu,2002,93,thousand_fish,fry
hidakahorobetsu,2002,90,thousand_fish,fry
furuu,2002,138,thousand_fish,fry
furuu,2002,20,thousand_fish,fry
masuhoro,2002,50,thousand_fish,fry
kenichi,2002,11,thousand_fish,fry
yobetsu,2002,100,thousand_fish,fry
ishizaki,2003,210,thousand_fish,fry
usubetsu,2003,90,thousand_fish,fry
utabetsu,2003,66,thousand_fish,fry
furuu,2003,111,thousand_fish,fry
furuu,2003,40,thousand_fish,fry
shiotomari,2003,50,thousand_fish,fry
chihase,2003,121,thousand_fish,fry
futoro,2003,174,thousand_fish,fry
tomari,2003,125,thousand_fish,fry
nikanbetsu,2003,50,thousand_fish,fry
nobusha,2003,502,thousand_fish,fry
hidakahorobetsu,2003,90,thousand_fish,fry
furuu,2003,41,thousand_fish,fry
masuhoro,2003,10,thousand_fish,fry
kenichi,2003,67,thousand_fish,fry
kenichi,2003,11,thousand_fish,fry
yobetsu,2003,67,thousand_fish,fry
shokanbetsu,2004,200,thousand_fish,fry
chihase,2004,100,thousand_fish,fry
toppu,2004,93,thousand_fish,fry
tomari,2004,100,thousand_fish,fry
nikanbetsu,2004,30,thousand_fish,fry
hidakahorobetsu,2004,40,thousand_fish,fry
hidakahorobetsu,2004,30,thousand_fish,fry
hidakahorobetsu,2004,33,thousand_fish,fry
furuu,2004,156,thousand_fish,fry
yobetsu,2004,100,thousand_fish,fry
usubetsu,2004,75,thousand_fish,fry
utabetsu,2004,25,thousand_fish,fry
shiotomari,2004,95,thousand_fish,fry
nobusha,2004,507,thousand_fish,fry
nikanbetsu,2004,30,thousand_fish,fry
ishizaki,2004,134,thousand_fish,fry
masuhoro,2004,10,thousand_fish,fry
futoro,2004,115,thousand_fish,fry
oyobe,2005,100,thousand_fish,fry
shokanbetsu,2005,241,thousand_fish,fry
chihase,2005,41,thousand_fish,fry
toppu,2005,81,thousand_fish,fry
tomari,2005,138,thousand_fish,fry
nobusha,2005,155,thousand_fish,fry
nobusha,2005,146,thousand_fish,fry
furuu,2005,181,thousand_fish,fry
kenichi,2005,45,thousand_fish,fry
yobetsu,2005,101,thousand_fish,fry
usubetsu,2005,72,thousand_fish,fry
shiotomari,2005,120,thousand_fish,fry
ishizaki,2005,126,thousand_fish,fry
masuhoro,2005,27,thousand_fish,fry
futoro,2005,108,thousand_fish,fry
